labels,data
12/1/2021,3.9
9/7/2021,4
8/5/2021,4
1/15/2022,4.4
11/20/2021,4.4
10/21/2021,4.7
12/3/2020,5.1
5/18/2021,5.7
9/24/2021,6.2
12/20/2021,6.5
1/5/2022,6.5
9/16/2021,6.7
1/14/2022,7.1
12/17/2020,7.4
11/22/2021,8.4
3/4/2022,8.6
2/9/2021,8.8
